# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  133       5.123797931266e-10       1.495124247307e-13      -5.677615273564e-12       7.209357334274e-16       4.579535189080e-12       7.094948352535e-13      -4.976006774141e-15 
  134       5.170406881644e-10       1.499522386984e-13      -5.729696964076e-12       7.324460055385e-16       4.484793114606e-12       6.988302818107e-13      -4.911060814268e-15 
  135       5.216972528649e-10       1.503265303858e-13      -5.779451551302e-12       7.440717899488e-16       4.392521220807e-12       6.884012230679e-13      -4.846801992951e-15 
  136       5.263478895248e-10       1.506349286551e-13      -5.826813653567e-12       7.558139211124e-16       4.302527483706e-12       6.781922466671e-13      -4.783262117121e-15 
  137       5.309910501003e-10       1.508771583722e-13      -5.871719166823e-12       7.676732164275e-16       4.214639588924e-12       6.681892113140e-13      -4.720458578112e-15 
  138       5.356256742445e-10       1.510531262500e-13      -5.914107203391e-12       7.796504001720e-16       4.128832947030e-12       6.583895345359e-13      -4.658361254258e-15 
  139       5.402507929855e-10       1.511628469563e-13      -5.953918422412e-12       7.917461715831e-16       4.045115087686e-12       6.487928857773e-13      -4.596921937489e-15 
  140       5.448653904952e-10       1.512064186324e-13      -5.991094476446e-12       8.039612283494e-16       3.963485412695e-12       6.393979406770e-13      -4.536084419500e-15 
  141       5.494684029691e-10       1.511840246607e-13      -6.025578051012e-12       8.162962664153e-16       3.883934983464e-12       6.302023553466e-13      -4.475784303310e-15 
  142       5.540587175061e-10       1.510959354332e-13      -6.057312904145e-12       8.287519797857e-16       3.806446308475e-12       6.212027406506e-13      -4.415948814813e-15 
  143       5.586351709873e-10       1.509425101191e-13      -6.086243905938e-12       8.413290603302e-16       3.730993130744e-12       6.123946364854e-13      -4.356496614344e-15 
  144       5.631965489568e-10       1.507241984327e-13      -6.112317078093e-12       8.540281975880e-16       3.657540215289e-12       6.037724860584e-13      -4.297337608228e-15 
