# Matter power spectrum P(k) at redshift z=0
# for k=1.02324e-05 to 5.25887 h/Mpc,
# number of wavenumbers equal to 557
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.317594641899e-02       7.937892346111e+03 
       8.620638709390e-02       7.437377049136e+03 
       8.928051311253e-02       6.960358067590e+03 
       9.238261887739e-02       6.522011505152e+03 
       9.550229160281e-02       6.132626566141e+03 
       9.863285472149e-02       5.797292619430e+03 
       1.017701169274e-01       5.516220610041e+03 
       1.049114814532e-01       5.285663974644e+03 
       1.080553523533e-01       5.098700278957e+03 
       1.112007535193e-01       4.946346951696e+03 
       1.143470896293e-01       4.818460169571e+03 
       1.174939981496e-01       4.704725254010e+03 
       1.206412584436e-01       4.595508221006e+03 
       1.237887362210e-01       4.482697870135e+03 
       1.269363496860e-01       4.360368833675e+03 
       1.300840489438e-01       4.225169602940e+03 
       1.332318034853e-01       4.076415366976e+03 
       1.363795945857e-01       3.915823341369e+03 
       1.395274106884e-01       3.747003412963e+03 
       1.426752446023e-01       3.574762729924e+03 
       1.458230917994e-01       3.404360191126e+03 
       1.489709493809e-01       3.240838494906e+03 
       1.521188154482e-01       3.088489089212e+03 
       1.552666887206e-01       2.950472083334e+03 
       1.584145683018e-01       2.828645411605e+03 
       1.615624535382e-01       2.723546348588e+03 
       1.647103439311e-01       2.634474825080e+03 
       1.678582390835e-01       2.559723268769e+03 
       1.710061386668e-01       2.496803163973e+03 
       1.741540424000e-01       2.442748051476e+03 
       1.773019500365e-01       2.394392877998e+03 
       1.804498613562e-01       2.349041911598e+03 
       1.835977761592e-01       2.303859270077e+03 
       1.867456942626e-01       2.256272192060e+03 
       1.898936154978e-01       2.204760583965e+03 
       1.930415397084e-01       2.148625397797e+03 
       1.961894667488e-01       2.088000689602e+03 
       1.993373964832e-01       2.023716080674e+03 
       2.024853287845e-01       1.957151683170e+03 
       2.056332635337e-01       1.889920780846e+03 
       2.087812006191e-01       1.823687105489e+03 
       2.119291399357e-01       1.759967504237e+03 
       2.150770813847e-01       1.699983381266e+03 
       2.182250248733e-01       1.644634461410e+03 
       2.213729703137e-01       1.594436928630e+03 
       2.245209176232e-01       1.549573824729e+03 
       2.276688667238e-01       1.509866608675e+03 
       2.308168175418e-01       1.474847829862e+03 
       2.339647700073e-01       1.443782004947e+03 
       2.371127240542e-01       1.415760172895e+03 
       2.402606796200e-01       1.389794460487e+03 
       2.434086366455e-01       1.364898474787e+03 
       2.465565950743e-01       1.340212807486e+03 
       2.497045548530e-01       1.315053813167e+03 
       2.528525159309e-01       1.288955465085e+03 
       2.560004782598e-01       1.261685808209e+03 
       2.591484417937e-01       1.233253177906e+03 
       2.622964064892e-01       1.203808464290e+03 
       2.654443723046e-01       1.173693370067e+03 
       2.685923392002e-01       1.143349562866e+03 
       2.717403071384e-01       1.113282893470e+03 
       2.748882760831e-01       1.084000611955e+03 
       2.780362460000e-01       1.055959600670e+03 
       2.811842168561e-01       1.029509434409e+03 
       2.843321886202e-01       1.004872424230e+03 
       2.874801612622e-01       9.821182849245e+02 
       2.906281347535e-01       9.611994503890e+02 
       2.937761090666e-01       9.419538025774e+02 
       2.969240841753e-01       9.241451995248e+02 
       3.000720600543e-01       9.074943233421e+02 
       3.032200366796e-01       8.917118702016e+02 
       3.063680140280e-01       8.764988119635e+02 
       3.095159920773e-01       8.615807256057e+02 
       3.126639708064e-01       8.467352929351e+02 
       3.158119501947e-01       8.317749132333e+02 
       3.189599302226e-01       8.166017171442e+02 
       3.221079108714e-01       8.011834929249e+02 
       3.252558921228e-01       7.855627659531e+02 
       3.284038739595e-01       7.698447091059e+02 
       3.315518563647e-01       7.541597500306e+02 
       3.346998393223e-01       7.386490003093e+02 
       3.378478228168e-01       7.234598894031e+02 
       3.409958068333e-01       7.087169580011e+02 
       3.441437913573e-01       6.945220941825e+02 
       3.472917763750e-01       6.809559555061e+02 
       3.504397618731e-01       6.680588880355e+02 
       3.535877478386e-01       6.558479952387e+02 
       3.567357342591e-01       6.442885433708e+02 
       3.598837211226e-01       6.333244850951e+02 
       3.630317084176e-01       6.228661474292e+02 
       3.661796961329e-01       6.128124653678e+02 
       3.693276842577e-01       6.030595916537e+02 
       3.724756727815e-01       5.935210380916e+02 
       3.756236616943e-01       5.841152461979e+02 
       3.787716509864e-01       5.747974609521e+02 
       3.819196406483e-01       5.655339766963e+02 
       3.850676306709e-01       5.563041053669e+02 
       3.882156210454e-01       5.471132475672e+02 
       3.913636117634e-01       5.379723500567e+02 
       3.945116028164e-01       5.289045499424e+02 
       3.976595941966e-01       5.199470004559e+02 
       4.008075858962e-01       5.111451640897e+02 
       4.039555779077e-01       5.025349968090e+02 
       4.071035702238e-01       4.941540815571e+02 
       4.102515628376e-01       4.860267608948e+02 
       4.133995557421e-01       4.781597047256e+02 
       4.165475489308e-01       4.705555593214e+02 
       4.196955423973e-01       4.632083419504e+02 
       4.228435361352e-01       4.561022453853e+02 
       4.259915301387e-01       4.492248660865e+02 
       4.291395244017e-01       4.425579684846e+02 
       4.322875189187e-01       4.360792439142e+02 
       4.354355136841e-01       4.297579118926e+02 
       4.385835086925e-01       4.235716405956e+02 
       4.417315039387e-01       4.174908392188e+02 
       4.448794994176e-01       4.114952427350e+02 
       4.480274951244e-01       4.055710716359e+02 
       4.511754910542e-01       3.997121992759e+02 
       4.543234872024e-01       3.939201335869e+02 
       4.574714835645e-01       3.881986915041e+02 
       4.606194801360e-01       3.825554460555e+02 
       4.637674769127e-01       3.769940650044e+02 
       4.669154738905e-01       3.715233414644e+02 
       4.700634710652e-01       3.661543870312e+02 
       4.732114684329e-01       3.608952328909e+02 
       4.763594659898e-01       3.557584650481e+02 
       4.795074637321e-01       3.507514726908e+02 
       4.826554616563e-01       3.458757997062e+02 
       4.858034597587e-01       3.411314879159e+02 
       4.889514580359e-01       3.365096048571e+02 
       4.920994564845e-01       3.320003156611e+02 
       4.952474551014e-01       3.275928315753e+02 
       4.983954538831e-01       3.232757646498e+02 
       5.015434528268e-01       3.190407132398e+02 
       5.046914519292e-01       3.148820682545e+02 
       5.078394511875e-01       3.107915724687e+02 
       5.109874505987e-01       3.067632190355e+02 
       5.141354501601e-01       3.027920478089e+02 
       5.172834498688e-01       2.988726139346e+02 
       5.204314497223e-01       2.950060861343e+02 
       5.235794497179e-01       2.911932598958e+02 
       5.267274498530e-01       2.874376038476e+02 
       5.298754501251e-01       2.837451436699e+02 
       5.330234505319e-01       2.801185582281e+02 
       5.361714510708e-01       2.765597223301e+02 
       5.393194517397e-01       2.730683792900e+02 
       5.424674525362e-01       2.696440590638e+02 
       5.456154534582e-01       2.662844122555e+02 
       5.487634545034e-01       2.629893935393e+02 
       5.519114556697e-01       2.597587821343e+02 
       5.550594569551e-01       2.565912911337e+02 
       5.817692521298e-01       2.318534661208e+02 
       6.119689577130e-01       2.075540772452e+02 
       6.469064789699e-01       1.837658361587e+02 
       6.886155319139e-01       1.600331672094e+02 
       7.406623491119e-01       1.360535941381e+02 
       8.098617909943e-01       1.112984979930e+02 
       9.103159496453e-01       8.532212390837e+01 
       1.070360435683e+00       5.875134642369e+01 
       1.322523290367e+00       3.579422289584e+01 
       1.663024789968e+00       2.073200416347e+01 
       2.093592790982e+00       1.186784845476e+01 
       2.635677069315e+00       6.738429173284e+00 
       3.318120839802e+00       3.797896130806e+00 
       4.177266644631e+00       2.126253849334e+00 
       5.258867130766e+00       1.183142310422e+00 
