# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   83       2.962627299024e-10       6.921500650057e-14      -1.671828347882e-12       2.732746948321e-16       1.584691774801e-11       1.837833034206e-12      -8.021047679227e-15 
   84       2.999616563820e-10       7.126578565453e-14      -1.750283346448e-12       2.799273869544e-16       1.537992888217e-11       1.794168132334e-12      -7.991004957428e-15 
   85       3.036933264424e-10       7.332717502037e-14      -1.829794570189e-12       2.866621913755e-16       1.493165679018e-11       1.752058001277e-12      -7.978885400903e-15 
   86       3.074573211403e-10       7.539745429637e-14      -1.910317977874e-12       2.934794073255e-16       1.450107137434e-11       1.711452323160e-12      -7.977733863034e-15 
   87       3.112529020403e-10       7.747484855245e-14      -1.991808559142e-12       3.003793541423e-16       1.408684421625e-11       1.672277288603e-12      -7.979836356696e-15 
   88       3.150789967702e-10       7.955752795667e-14      -2.074220365202e-12       3.073623718260e-16       1.368733742916e-11       1.634434675648e-12      -7.976697009924e-15 
   89       3.189345748609e-10       8.164364004723e-14      -2.157505042215e-12       3.144288133342e-16       1.330099361050e-11       1.597826729574e-12      -7.960819899406e-15 
   90       3.228198743130e-10       8.373141294624e-14      -2.241607100895e-12       3.215790188729e-16       1.292760010260e-11       1.562437282867e-12      -7.931425112066e-15 
   91       3.267353417228e-10       8.581906790829e-14      -2.326467957957e-12       3.288133385755e-16       1.256720343741e-11       1.528261722533e-12      -7.889591061674e-15 
   92       3.306812506514e-10       8.790478842746e-14      -2.412027375507e-12       3.361321408281e-16       1.221972082423e-11       1.495281794924e-12      -7.836533372187e-15 
   93       3.346576930281e-10       8.998672045143e-14      -2.498223469301e-12       3.435358127000e-16       1.188493501103e-11       1.463465071190e-12      -7.773608872772e-15 
   94       3.386645705540e-10       9.206297259557e-14      -2.584992717007e-12       3.510247603746e-16       1.156248914580e-11       1.432764412733e-12      -7.702319592843e-15 
   95       3.427015861054e-10       9.413161635707e-14      -2.672269966458e-12       3.585994095804e-16       1.125188163787e-11       1.403117436660e-12      -7.624316757089e-15 
   96       3.467682351371e-10       9.619068632900e-14      -2.759988443921e-12       3.662602060215e-16       1.095246101932e-11       1.374445981238e-12      -7.541404780505e-15 
   97       3.508637970858e-10       9.823818041445e-14      -2.848079762347e-12       3.740076158085e-16       1.066342080625e-11       1.346655571347e-12      -7.455545263424e-15 
   98       3.549873267738e-10       1.002720600406e-13      -2.936473929636e-12       3.818421258893e-16       1.038379436014e-11       1.319634883931e-12      -7.368860986549e-15 
   99       3.591378943502e-10       1.022902950668e-13      -3.025100459806e-12       3.897642469323e-16       1.011267638435e-11       1.293281740151e-12      -7.283240628062e-15 
  100       3.633153624770e-10       1.042910053031e-13      -3.113891868231e-12       3.977745215111e-16       9.849934318603e-12       1.267586438066e-12      -7.199080395138e-15 
  101       3.675197037672e-10       1.062723395277e-13      -3.202780689118e-12       4.058735178846e-16       9.595588630059e-12       1.242559285189e-12      -7.116370747765e-15 
  102       3.717507565537e-10       1.082324333274e-13      -3.291698438121e-12       4.140618281029e-16       9.349592806263e-12       1.218204914493e-12      -7.035078941502e-15 
  103       3.760082193057e-10       1.101694098535e-13      -3.380575633969e-12       4.223400684678e-16       9.111830963576e-12       1.194522071396e-12      -6.955148182782e-15 
  104       3.802916450443e-10       1.120813805779e-13      -3.469341820090e-12       4.307088799933e-16       8.882115455612e-12       1.171503400756e-12      -6.876496784206e-15 
  105       3.846004357588e-10       1.139664460485e-13      -3.557925586245e-12       4.391689288658e-16       8.660184481674e-12       1.149135233857e-12      -6.799017319848e-15 
  106       3.889338368226e-10       1.158226966456e-13      -3.646254590153e-12       4.477209069052e-16       8.445699695187e-12       1.127397375397e-12      -6.722575780546e-15 
  107       3.932909314093e-10       1.176482133371e-13      -3.734255579116e-12       4.563655320248e-16       8.238243812138e-12       1.106262890482e-12      -6.647010729209e-15 
  108       3.976706349084e-10       1.194410684350e-13      -3.821854411652e-12       4.651035486923e-16       8.037318219508e-12       1.085697891608e-12      -6.572132456108e-15 
  109       4.020716893419e-10       1.211993263507e-13      -3.908976079124e-12       4.739357283900e-16       7.842340583707e-12       1.065661325659e-12      -6.497722134178e-15 
  110       4.064928798638e-10       1.229210931320e-13      -3.995545512856e-12       4.828628489374e-16       7.652776098013e-12       1.046115401563e-12      -6.423599268804e-15 
  111       4.109337277327e-10       1.246046706569e-13      -4.081490076511e-12       4.918856284619e-16       7.468555446407e-12       1.027058847053e-12      -6.349835670309e-15 
  112       4.153938759875e-10       1.262484236793e-13      -4.166737434645e-12       5.010047838001e-16       7.289706103240e-12       1.008497529214e-12      -6.276567411895e-15 
  113       4.198728719283e-10       1.278507340333e-13      -4.251214824738e-12       5.102210511308e-16       7.116222410003e-12       9.904340870865e-13      -6.203928811531e-15 
  114       4.243701637155e-10       1.294100018692e-13      -4.334849086542e-12       5.195351862273e-16       6.948064497169e-12       9.728678232269e-13      -6.132052258450e-15 
  115       4.288850969680e-10       1.309246468876e-13      -4.417566691429e-12       5.289479647105e-16       6.785157206031e-12       9.557945952762e-13      -6.061068039645e-15 
  116       4.334169113619e-10       1.323931095759e-13      -4.499293771739e-12       5.384601823015e-16       6.627389010547e-12       9.392067075250e-13      -5.991104166368e-15 
  117       4.379647372295e-10       1.338138524424e-13      -4.579956150127e-12       5.480726550747e-16       6.474610939177e-12       9.230928024796e-13      -5.922286200629e-15 
  118       4.425275921576e-10       1.351853612525e-13      -4.659479368913e-12       5.577862197099e-16       6.326635496728e-12       9.074377524278e-13      -5.854737081691e-15 
  119       4.471043775864e-10       1.365061462635e-13      -4.737788719427e-12       5.676017337458e-16       6.183235586191e-12       8.922225510051e-13      -5.788576952566e-15 
  120       4.516938754080e-10       1.377747434598e-13      -4.814809271359e-12       5.775200758322e-16       6.044143430583e-12       8.774242047604e-13      -5.723922986519e-15 
  121       4.562947445650e-10       1.389897157886e-13      -4.890465902107e-12       5.875421459832e-16       5.909049494789e-12       8.630156247223e-13      -5.660889213558e-15 
