# Matter power spectrum P(k) at redshift z=0
# for k=1.0298e-05 to 5.18431 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.361761396114e-01       4.325094595311e+02 
       4.393464497195e-01       4.262665501674e+02 
       4.425167600675e-01       4.201468648829e+02 
       4.456870706504e-01       4.141285365490e+02 
       4.488573814631e-01       4.081896906976e+02 
       4.520276925007e-01       4.023189785543e+02 
       4.551980037586e-01       3.965131540406e+02 
       4.583683152322e-01       3.907730094660e+02 
       4.615386269170e-01       3.851036962385e+02 
       4.647089388087e-01       3.795107237928e+02 
       4.678792509030e-01       3.739995340158e+02 
       4.710495631958e-01       3.685818272458e+02 
       4.742198756832e-01       3.632662260472e+02 
       4.773901883613e-01       3.580626108641e+02 
       4.805605012263e-01       3.529819691732e+02 
       4.837308142744e-01       3.480318111810e+02 
       4.869011275022e-01       3.432142707151e+02 
       4.900714409060e-01       3.385256764777e+02 
       4.932417544825e-01       3.339559420078e+02 
       4.964120682285e-01       3.294965638193e+02 
       4.995823821405e-01       3.251356064413e+02 
       5.027526962156e-01       3.208643841609e+02 
       5.059230104505e-01       3.166731199550e+02 
       5.090933248424e-01       3.125550819755e+02 
       5.122636393883e-01       3.085045856712e+02 
       5.154339540854e-01       3.045137297273e+02 
       5.186042689308e-01       3.005773025220e+02 
       5.217745839218e-01       2.966931980123e+02 
       5.249448990559e-01       2.928599871649e+02 
       5.281152143303e-01       2.890802796727e+02 
       5.312855297427e-01       2.853598060295e+02 
       5.344558452906e-01       2.817015814188e+02 
       5.376261609714e-01       2.781104104931e+02 
       5.407964767830e-01       2.745852013028e+02 
       5.439667927230e-01       2.711274741476e+02 
       5.471371087891e-01       2.677351727679e+02 
       5.503074249792e-01       2.644073172690e+02 
       5.534777412911e-01       2.611443791276e+02 
       5.566480577228e-01       2.579451860373e+02 
       5.832678808112e-01       2.332610143284e+02 
       6.133116978346e-01       2.090312241874e+02 
       6.479845121799e-01       1.853206980341e+02 
       6.892382432436e-01       1.616939984130e+02 
       7.404704860435e-01       1.378620215605e+02 
       8.081204302543e-01       1.133000206546e+02 
       9.054386814953e-01       8.754000216307e+01 
       1.059437364294e+00       6.101075090403e+01 
       1.304369491398e+00       3.752754931979e+01 
       1.639462654459e+00       2.178706064269e+01 
       2.063911772470e+00       1.248738828489e+01 
       2.598310797249e+00       7.098158870337e+00 
       3.271079490303e+00       4.004834114386e+00 
       4.118045094341e+00       2.244307915296e+00 
       5.184311616180e+00       1.249972520493e+00 
